timestamp,pitch_hz,confidence,voiced
8.3440,437.56,0.9952,true
8.3600,437.56,0.9974,true
8.3760,437.56,0.9989,true
8.3920,437.56,0.9994,true
8.4080,437.57,0.9996,true
8.4240,437.56,0.9997,true
8.4400,437.56,0.9996,true
8.4560,437.56,0.9995,true
8.4720,437.56,0.9993,true
8.4880,437.56,0.9994,true
8.5040,437.56,0.9992,true
8.5200,437.56,0.9988,true
8.5360,437.57,0.9978,true
8.5520,437.58,0.9973,true
8.5680,437.62,0.9976,true
8.5840,437.69,0.9967,true
8.6000,437.73,0.9957,true
8.6160,437.65,0.9938,true
8.6320,437.60,0.9835,true
8.6480,437.65,0.9638,true
8.6640,437.93,0.8906,false
8.6800,438.13,0.7143,false
8.6960,437.77,0.5794,false
8.7120,437.85,0.6991,false
8.7280,437.94,0.7599,false
8.7440,437.89,0.7168,false
8.7600,437.66,0.6052,false
8.7760,437.09,0.4685,false
8.7920,436.25,0.3695,false
8.8080,435.21,0.2392,false
8.8240,434.90,0.2015,false
8.8400,435.70,0.2267,false
8.8560,436.36,0.2557,false
8.8720,436.57,0.3134,false
8.8880,436.47,0.3081,false
8.9040,436.49,0.3186,false
8.9200,436.00,0.2844,false
8.9360,435.23,0.2393,false
8.9520,434.29,0.2100,false
8.9680,434.71,0.1985,false
8.9840,435.32,0.2095,false
9.0000,435.75,0.2352,false
9.0160,436.06,0.2124,false
9.0320,436.10,0.1647,false
9.0480,109.60,0.4786,false
9.0640,108.93,0.5325,false
9.0800,108.19,0.5176,false
9.0960,1938.24,0.1475,false
9.1120,1934.14,0.2116,false
9.1280,1918.96,0.2440,false
9.1440,1911.22,0.2432,false
9.1600,1923.48,0.2323,false
9.1760,1919.91,0.2143,false
9.1920,1922.61,0.1897,false
9.2080,1923.51,0.1757,false
9.2240,839.73,0.2584,false
9.2400,845.79,0.2783,false
9.2560,846.04,0.2622,false
9.2720,833.07,0.2448,false
9.2880,827.51,0.2367,false
9.3040,823.41,0.2615,false
9.3200,819.37,0.2896,false
9.3360,813.18,0.3103,false
9.3520,807.05,0.2655,false
9.3680,101.93,0.2886,false
9.3840,101.31,0.3579,false
9.4000,101.46,0.4330,false
9.4160,101.34,0.4595,false
9.4320,101.11,0.4605,false
9.4480,101.09,0.4482,false
9.4640,100.90,0.4895,false
9.4800,101.00,0.5246,false
9.4960,101.39,0.5159,false
9.5120,102.01,0.4990,false
9.5280,102.18,0.5337,false
9.5440,102.07,0.5423,false
9.5600,101.91,0.5765,false
9.5760,102.05,0.6144,false
9.5920,101.91,0.6951,false
9.6080,101.75,0.7498,false
9.6240,101.82,0.7276,false
9.6400,101.95,0.6950,false
9.6560,101.76,0.5775,false
9.6720,101.48,0.4761,false
9.6880,102.05,0.3468,false
9.7040,1071.41,0.2042,false
9.7200,1070.03,0.1991,false
9.7360,154.50,0.2866,false
9.7520,796.06,0.1696,false
9.7680,801.20,0.1939,false
9.7840,101.91,0.3709,false
9.8000,101.33,0.3684,false
9.8160,1675.15,0.4366,false
9.8320,1677.18,0.3830,false
9.8480,1675.91,0.3107,false
9.8640,1668.62,0.5520,false
9.8800,1666.11,0.8409,false
9.8960,1665.24,0.9562,true
9.9120,1665.09,0.9857,true
9.9280,1665.03,0.9934,true
9.9440,1665.02,0.9967,true
9.9600,1665.03,0.9977,true
9.9760,1665.06,0.9982,true
9.9920,1665.07,0.9985,true
10.0080,1665.06,0.9981,true
10.0240,1665.06,0.9949,true
10.0400,1665.09,0.9830,true
10.0560,1665.23,0.9518,true
10.0720,1665.28,0.9351,true
10.0880,1665.28,0.9320,true
10.1040,1665.54,0.8936,false
10.1200,1671.86,0.6628,false
10.1360,884.05,0.7838,false
10.1520,886.42,0.9013,true
10.1680,886.70,0.9365,true
10.1840,886.75,0.9611,true
10.2000,886.76,0.9748,true
10.2160,886.76,0.9811,true
10.2320,886.77,0.9909,true
10.2480,886.77,0.9963,true
10.2640,886.77,0.9969,true
10.2800,886.77,0.9939,true
10.2960,886.77,0.9920,true
10.3120,886.77,0.9951,true
10.3280,886.77,0.9980,true
10.3440,886.77,0.9990,true
10.3600,886.77,0.9991,true
10.3760,886.77,0.9988,true
10.3920,886.77,0.9982,true
10.4080,886.77,0.9976,true
10.4240,886.77,0.9975,true
10.4400,886.76,0.9967,true
10.4560,886.75,0.9936,true
10.4720,886.73,0.9892,true
10.4880,886.71,0.9804,true
10.5040,886.68,0.9502,true
10.5200,886.76,0.8507,false
10.5360,888.40,0.5885,false
10.5520,652.07,0.2453,false
10.5680,653.36,0.5690,false
10.5840,653.50,0.7624,false
10.6000,653.47,0.9148,true
10.6160,653.42,0.9741,true
10.6320,653.40,0.9860,true
10.6480,653.42,0.9878,true
10.6640,653.49,0.9763,true
10.6800,653.62,0.9417,true
10.6960,653.69,0.9419,true
10.7120,653.68,0.9484,true
10.7280,653.60,0.9505,true
10.7440,653.54,0.9567,true
10.7600,653.52,0.9379,true
10.7760,653.47,0.8614,false
